state_abbr,county_fips,county_name,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults
AL,01001,Autauga,33.8,14.3,25.1,21.0,16.5,12.4,39.8
AL,01003,Baldwin,33.9,14.6,22.5,19.3,13.2,9.7,35.2
AL,01005,Barbour,44.4,12.4,22.1,31.4,30.5,21.1,46.8
AL,01007,Bibb,41.3,14.0,24.4,27.6,23.5,16.1,43.9
AL,01009,Blount,37.9,14.5,24.8,23.6,16.7,11.8,36.1
AL,01011,Bullock,49.7,10.6,21.1,39.4,42.9,29.4,51.3
AL,01013,Butler,42.1,11.6,22.5,28.9,26.7,18.7,40.4
AL,01015,Calhoun,39.0,14.3,24.6,25.2,20.5,14.1,38.6
AL,01017,Chambers,41.0,11.8,22.7,27.6,24.6,17.4,41.5
AL,01019,Cherokee,40.9,13.5,25.0,25.5,16.9,11.2,39.5
AL,01021,Chilton,39.2,14.2,24.5,24.0,18.7,13.2,40.0
AL,01023,Choctaw,44.3,11.3,23.3,30.3,25.4,17.0,44.4
AL,01025,Clarke,43.0,11.6,22.6,28.6,25.8,18.0,43.9
AL,01027,Clay,41.8,13.3,24.4,27.0,20.2,13.6,42.5
AL,01029,Cleburne,38.6,14.6,25.5,24.0,17.0,11.5,37.4
AL,01031,Coffee,38.1,14.4,24.3,23.9,19.6,13.9,41.0
AL,01033,Colbert,37.9,14.0,24.5,23.6,17.6,12.7,37.5
AL,01035,Conecuh,46.5,10.6,22.3,33.3,30.2,20.0,46.4
AL,01037,Coosa,41.6,12.0,22.2,27.6,21.2,14.5,41.9
AL,01039,Covington,40.5,12.9,24.3,26.3,19.0,13.0,37.9
AL,01041,Crenshaw,40.3,13.4,23.8,26.5,21.8,15.1,40.5
AL,01043,Cullman,37.2,15.3,25.4,22.9,15.7,11.1,36.4
AL,01045,Dale,40.6,13.3,24.8,26.0,21.3,15.1,41.3
AL,01047,Dallas,44.2,10.1,20.3,33.2,34.0,23.5,46.3
AL,01049,DeKalb,42.0,14.1,26.3,28.1,22.6,14.8,38.6
AL,01051,Elmore,35.2,14.8,23.0,21.7,17.3,12.7,38.9
AL,01053,Escambia,44.1,12.9,24.0,31.4,28.6,19.1,43.9
AL,01055,Etowah,41.1,13.9,24.9,26.5,19.7,13.9,43.8
AL,01057,Fayette,41.4,13.7,25.7,26.4,20.0,13.4,40.6
AL,01059,Franklin,42.0,13.7,25.1,28.6,23.8,15.9,42.2
