county_fips,county_name,StateAbbr,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults
13001,Appling,GA,39.2,13.4,22.0,28.7,24.5,17.9,40.6
13003,Atkinson,GA,41.8,14.0,22.0,32.9,31.5,23.2,44.0
13005,Bacon,GA,35.8,14.4,22.1,24.9,20.8,16.1,36.9
13007,Baker,GA,42.2,10.7,19.3,31.7,28.3,19.8,43.3
13009,Baldwin,GA,34.7,14.1,20.4,23.8,22.3,17.4,38.7
13011,Banks,GA,34.4,15.4,22.8,22.8,16.4,12.7,34.5
13013,Barrow,GA,30.2,15.3,19.7,20.2,17.3,14.5,35.3
13015,Bartow,GA,30.4,16.1,21.2,20.4,14.9,12.7,38.7
13017,Ben Hill,GA,40.1,12.4,20.9,30.0,28.6,21.1,41.5
13019,Berrien,GA,37.7,14.4,22.9,26.5,22.0,16.1,38.1
13021,Bibb,GA,36.8,12.6,19.5,26.1,25.9,20.4,44.7
13023,Bleckley,GA,35.3,13.9,21.8,23.6,19.5,15.4,37.7
13025,Brantley,GA,37.0,15.0,24.0,25.0,18.4,13.7,39.0
13027,Brooks,GA,40.1,11.8,20.2,30.1,26.5,19.4,40.2
13029,Bryan,GA,26.4,17.9,20.5,15.7,12.1,11.4,33.5
13031,Bulloch,GA,31.4,15.2,21.4,20.3,19.2,15.6,38.9
13033,Burke,GA,38.0,12.3,20.4,27.7,25.9,20.0,40.1
13035,Butts,GA,33.9,15.3,20.4,23.2,19.8,16.1,38.2
13037,Calhoun,GA,38.7,13.3,17.3,29.9,30.5,23.6,43.6
13039,Camden,GA,31.1,16.0,20.9,20.1,16.1,13.6,37.2
13043,Candler,GA,37.9,13.4,21.2,27.3,23.6,17.9,42.2
13045,Carroll,GA,33.4,15.7,21.3,21.4,18.1,14.8,34.2
13047,Catoosa,GA,31.6,15.8,21.3,19.1,12.4,10.3,34.1
13049,Charlton,GA,37.9,15.5,20.1,28.2,26.0,20.4,41.5
13051,Chatham,GA,29.6,15.5,18.9,19.0,17.6,14.9,33.0
13053,Chattahoochee,GA,29.7,20.6,21.0,18.3,20.3,16.9,35.8
13055,Chattooga,GA,39.6,14.5,23.1,28.0,22.6,16.3,35.2
13057,Cherokee,GA,25.8,17.2,20.2,16.5,10.8,9.8,33.5
13059,Clarke,GA,29.8,16.3,22.2,19.4,18.4,14.7,30.2
13061,Clay,GA,40.0,10.0,18.3,29.4,25.9,19.4,41.2
13063,Clayton,GA,33.8,11.9,17.0,25.1,30.8,26.5,45.2
13065,Clinch,GA,39.4,13.3,21.8,29.1,26.2,19.3,41.9
13067,Cobb,GA,23.6,15.0,18.2,15.8,12.5,11.7,29.9
13069,Coffee,GA,39.8,14.0,21.7,28.5,27.6,20.8,39.3
13071,Colquitt,GA,38.4,13.5,21.7,28.2,25.7,19.7,35.7
13073,Columbia,GA,25.0,14.4,19.4,16.4,12.2,11.1,33.1
13075,Cook,GA,37.3,14.0,22.2,27.4,25.0,18.8,37.6
13077,Coweta,GA,28.6,15.1,19.3,17.7,12.9,11.4,35.7
13079,Crawford,GA,34.8,14.1,20.6,23.3,17.9,13.9,37.3
13081,Crisp,GA,39.9,11.8,20.5,29.7,27.7,20.8,44.6
13083,Dade,GA,32.4,15.6,22.6,20.1,12.8,10.3,35.1
13085,Dawson,GA,28.7,16.0,21.0,17.6,11.2,9.5,31.6
13087,Decatur,GA,38.3,12.5,20.3,27.9,26.5,20.5,42.2
13089,DeKalb,GA,24.5,14.4,16.9,18.2,17.4,15.4,31.8
13091,Dodge,GA,37.4,13.7,20.6,26.1,22.9,17.3,40.4
13093,Dooly,GA,37.2,12.7,17.8,27.3,24.8,19.6,41.0
13095,Dougherty,GA,38.0,11.1,18.6,29.4,30.7,24.0,41.9
13097,Douglas,GA,30.7,13.9,18.2,20.4,20.0,17.7,36.3
13099,Early,GA,39.9,11.6,19.8,29.0,27.1,20.7,40.7
13101,Echols,GA,33.1,15.5,20.6,23.4,19.4,15.7,38.3
13103,Effingham,GA,28.5,16.6,20.5,17.9,13.5,12.2,37.9
13105,Elbert,GA,36.4,13.1,20.4,25.4,21.0,16.2,38.2
13107,Emanuel,GA,37.4,13.4,20.8,28.1,25.6,19.6,42.7
13109,Evans,GA,37.6,13.5,20.8,27.4,25.2,19.2,42.4
13111,Fannin,GA,35.9,13.1,20.7,23.2,13.6,9.7,38.2
13113,Fayette,GA,26.0,13.8,17.6,15.6,10.5,9.7,30.7
13115,Floyd,GA,34.5,14.8,22.3,22.5,18.4,14.5,37.3
13117,Forsyth,GA,20.9,15.3,17.4,13.4,8.5,7.7,27.7
13119,Franklin,GA,35.9,14.6,22.6,24.5,18.7,13.8,39.0
13121,Fulton,GA,24.8,15.9,16.9,16.3,14.8,13.4,28.2
13123,Gilmer,GA,35.7,13.5,20.7,22.5,13.5,10.4,34.2
13125,Glascock,GA,35.0,15.0,22.5,23.4,17.2,13.1,37.6
13127,Glynn,GA,32.7,13.9,19.3,21.7,16.3,13.2,35.1
13129,Gordon,GA,35.4,15.2,22.5,23.9,18.4,14.6,35.3
13131,Grady,GA,36.3,12.8,20.3,26.6,23.0,18.1,38.5
13133,Greene,GA,31.8,12.2,17.5,20.1,13.2,10.9,33.7
13135,Gwinnett,GA,26.2,13.1,15.7,19.2,17.6,15.5,34.9
13137,Habersham,GA,32.3,14.8,21.5,21.4,16.0,12.6,32.2
13139,Hall,GA,32.0,14.6,20.2,21.6,17.6,14.4,32.3
13141,Hancock,GA,43.1,10.9,17.5,33.9,33.7,25.1,44.8
13143,Haralson,GA,33.0,16.3,23.8,21.1,15.4,12.1,36.2
13145,Harris,GA,27.8,15.7,18.8,17.2,11.1,9.9,33.0
13147,Hart,GA,33.8,13.8,20.4,22.7,16.6,13.1,35.1
13149,Heard,GA,34.9,15.0,22.6,23.4,17.5,13.6,35.6
13151,Henry,GA,28.1,13.3,17.6,19.8,18.2,16.8,45.2
13153,Houston,GA,29.1,14.4,20.5,19.3,16.0,14.3,39.7
13155,Irwin,GA,36.8,13.7,21.5,26.1,21.4,16.3,40.3
13157,Jackson,GA,29.0,16.8,20.5,18.7,14.3,12.1,33.0
13159,Jasper,GA,34.0,14.9,21.7,22.9,17.7,13.8,37.1
13161,Jeff Davis,GA,39.9,14.0,22.2,28.5,25.3,18.5,40.4
13163,Jefferson,GA,39.8,12.0,19.9,29.4,28.6,21.8,41.3
13165,Jenkins,GA,40.3,13.2,20.5,30.5,30.1,22.4,42.5
13167,Johnson,GA,40.6,13.5,20.2,29.5,25.9,19.2,43.5
13169,Jones,GA,33.1,14.0,20.8,21.8,17.2,14.3,39.8
13171,Lamar,GA,32.4,14.8,20.9,21.5,17.8,14.6,36.6
13173,Lanier,GA,37.2,14.4,22.0,26.7,24.5,18.6,40.9
13175,Laurens,GA,35.1,14.0,20.3,26.3,23.3,18.0,44.0
13177,Lee,GA,27.7,15.1,20.2,17.5,13.8,12.3,39.2
13179,Liberty,GA,31.1,16.4,19.7,20.8,21.8,18.8,32.3
13181,Lincoln,GA,37.8,12.2,20.3,26.2,19.9,14.9,38.0
13183,Long,GA,32.1,15.9,21.3,22.2,21.7,18.6,38.4
13185,Lowndes,GA,34.0,14.3,20.5,22.1,21.7,17.6,38.7
13187,Lumpkin,GA,30.7,16.5,22.5,18.9,13.2,10.2,28.9
13189,McDuffie,GA,36.6,12.9,20.4,25.4,22.6,17.5,38.9
13191,McIntosh,GA,40.6,11.4,20.3,30.1,23.2,16.5,40.7
13193,Macon,GA,42.6,11.7,18.1,33.6,35.1,25.8,43.8
13195,Madison,GA,35.3,14.7,22.3,24.5,19.0,14.4,38.1
13197,Marion,GA,38.7,12.3,20.4,27.8,23.1,17.1,38.6
13199,Meriwether,GA,37.1,12.6,20.4,26.5,22.9,17.6,41.4
13201,Miller,GA,38.0,12.3,21.1,26.9,21.5,16.1,41.8
13205,Mitchell,GA,38.1,12.7,20.0,28.2,27.0,20.7,45.1
13207,Monroe,GA,30.3,14.8,20.0,19.7,14.7,12.2,34.9
13209,Montgomery,GA,35.6,14.1,21.1,24.3,20.8,16.1,39.4
13211,Morgan,GA,29.3,15.4,19.6,18.4,12.4,10.6,31.7
13213,Murray,GA,33.7,15.7,22.4,22.8,17.0,13.5,41.5
13215,Muscogee,GA,32.4,13.7,19.6,23.7,22.0,18.4,40.3
13217,Newton,GA,31.7,14.0,18.8,21.8,21.1,18.1,42.4
13219,Oconee,GA,23.4,16.5,19.5,13.3,7.5,7.0,28.8
13221,Oglethorpe,GA,32.5,14.6,20.8,21.9,15.7,12.6,36.4
13223,Paulding,GA,26.3,15.8,20.4,17.5,14.4,13.3,38.4
13225,Peach,GA,32.7,13.5,19.5,22.3,20.5,17.2,39.3
13227,Pickens,GA,32.2,15.0,21.8,20.1,12.8,10.1,35.0
13229,Pierce,GA,35.6,14.9,22.5,23.6,17.9,14.0,36.4
13231,Pike,GA,30.0,16.1,21.7,18.8,13.1,11.1,36.0
13233,Polk,GA,36.1,15.3,22.5,24.5,20.0,15.6,40.4
13235,Pulaski,GA,38.3,12.5,21.8,27.5,24.2,18.8,40.8
13237,Putnam,GA,35.2,12.4,19.8,24.1,17.9,13.9,39.4
13239,Quitman,GA,43.2,9.6,18.6,31.9,25.9,18.3,42.3
13241,Rabun,GA,33.7,13.4,20.5,21.8,13.0,10.0,34.2
13243,Randolph,GA,45.5,9.5,19.6,35.2,34.1,24.2,45.6
13245,Richmond,GA,34.7,13.2,20.4,25.4,25.7,21.2,36.6
13247,Rockdale,GA,32.1,12.4,17.6,22.8,22.7,19.5,39.0
13249,Schley,GA,34.0,14.2,20.8,22.8,17.1,13.6,37.4
13251,Screven,GA,36.6,12.5,20.0,26.4,23.0,17.9,40.0
13253,Seminole,GA,37.7,11.8,19.5,26.1,20.7,15.9,39.4
13255,Spalding,GA,35.6,13.2,20.0,24.8,22.3,17.6,39.7
13257,Stephens,GA,35.9,14.5,22.1,23.8,17.6,13.5,38.5
13259,Stewart,GA,39.9,14.2,17.3,31.9,34.6,26.1,41.6
13261,Sumter,GA,36.3,12.5,19.2,26.2,25.6,20.0,39.5
13263,Talbot,GA,40.6,10.5,18.5,30.2,26.6,19.6,43.1
13265,Taliaferro,GA,40.6,10.5,17.5,29.8,25.6,19.2,41.7
13267,Tattnall,GA,37.4,14.8,20.2,27.7,26.0,19.9,40.7
13269,Taylor,GA,42.2,11.6,21.0,32.2,28.5,20.3,42.4
13271,Telfair,GA,43.3,12.7,19.8,33.6,32.3,23.2,43.0
13273,Terrell,GA,42.2,11.1,19.4,32.3,31.6,23.6,43.6
13275,Thomas,GA,33.9,13.1,19.7,23.5,19.6,15.8,39.2
13277,Tift,GA,35.9,13.7,21.0,25.5,23.3,18.3,39.4
13279,Toombs,GA,36.5,13.5,20.8,25.9,22.8,17.6,40.6
