geo_id,county_name,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,county_fips,state_abbr
0500000US01001,"Autauga County, Alabama",47508,,69841,36227,,01001,AL
0500000US01003,"Baldwin County, Alabama",195048,,75019,40775,,01003,AL
0500000US01005,"Barbour County, Alabama",20253,,44290,25439,,01005,AL
0500000US01007,"Bibb County, Alabama",18176,,51215,26022,,01007,AL
0500000US01009,"Blount County, Alabama",47389,,61096,30656,,01009,AL
0500000US01011,"Bullock County, Alabama",8254,,36723,21462,,01011,AL
0500000US01013,"Butler County, Alabama",15120,,44881,28306,,01013,AL
0500000US01015,"Calhoun County, Alabama",94387,,55826,29571,,01015,AL
0500000US01017,"Chambers County, Alabama",27797,,49295,27868,,01017,AL
0500000US01019,"Cherokee County, Alabama",21189,,50769,31360,,01019,AL
0500000US01021,"Chilton County, Alabama",35476,,61873,30032,,01021,AL
0500000US01023,"Choctaw County, Alabama",10376,,44483,26781,,01023,AL
0500000US01025,"Clarke County, Alabama",18497,,49167,31101,,01025,AL
0500000US01027,"Clay County, Alabama",11542,,51852,29268,,01027,AL
0500000US01029,"Cleburne County, Alabama",12384,,53319,29569,,01029,AL
0500000US01031,"Coffee County, Alabama",42821,,64672,32757,,01031,AL
0500000US01033,"Colbert County, Alabama",46791,,56736,32685,,01033,AL
0500000US01035,"Conecuh County, Alabama",9391,,42266,26323,,01035,AL
0500000US01037,"Coosa County, Alabama",8752,,57063,29035,,01037,AL
0500000US01039,"Covington County, Alabama",30235,,50886,30151,,01039,AL
0500000US01041,"Crenshaw County, Alabama",10520,,49040,30321,,01041,AL
0500000US01043,"Cullman County, Alabama",71682,,60916,30977,,01043,AL
0500000US01045,"Dale County, Alabama",39224,,53955,29344,,01045,AL
0500000US01047,"Dallas County, Alabama",29643,,36810,24368,,01047,AL
0500000US01049,"DeKalb County, Alabama",56499,,51149,25274,,01049,AL
0500000US01051,"Elmore County, Alabama",71576,,75553,36616,,01051,AL
0500000US01053,"Escambia County, Alabama",29350,,44447,22916,,01053,AL
0500000US01055,"Etowah County, Alabama",83351,,53070,29553,,01055,AL
0500000US01057,"Fayette County, Alabama",13235,,50733,27734,,01057,AL
0500000US01059,"Franklin County, Alabama",24865,,51493,26036,,01059,AL
0500000US01061,"Geneva County, Alabama",21426,,50951,26880,,01061,AL
0500000US01063,"Greene County, Alabama",6108,,31495,20372,,01063,AL
0500000US01065,"Hale County, Alabama",11517,,41325,26024,,01065,AL
0500000US01067,"Henry County, Alabama",14280,,60135,31809,,01067,AL
0500000US01069,"Houston County, Alabama",85535,,57531,33053,,01069,AL
0500000US01071,"Jackson County, Alabama",43210,,49454,28452,,01071,AL
0500000US01073,"Jefferson County, Alabama",533233,,64589,39826,,01073,AL
0500000US01075,"Lamar County, Alabama",10986,,47447,24169,,01075,AL
0500000US01077,"Lauderdale County, Alabama",78274,,59082,33595,,01077,AL
0500000US01079,"Lawrence County, Alabama",26762,,60040,31189,,01079,AL
0500000US01081,"Lee County, Alabama",144668,,61123,34504,,01081,AL
0500000US01083,"Limestone County, Alabama",86785,,83534,39587,,01083,AL
0500000US01085,"Lowndes County, Alabama",8041,,35160,24965,,01085,AL
0500000US01087,"Macon County, Alabama",16337,,45951,24595,,01087,AL
0500000US01089,"Madison County, Alabama",320186,,83528,46784,,01089,AL
0500000US01091,"Marengo County, Alabama",15277,,44205,27957,,01091,AL
0500000US01093,"Marion County, Alabama",23867,,50714,26555,,01093,AL
0500000US01095,"Marshall County, Alabama",75978,,60946,31025,,01095,AL
0500000US01097,"Mobile County, Alabama",327288,,58119,32032,,01097,AL
0500000US01099,"Monroe County, Alabama",15983,,40225,23470,,01099,AL
0500000US01101,"Montgomery County, Alabama",178713,,58153,33404,,01101,AL
0500000US01103,"Morgan County, Alabama",98199,,64858,34510,,01103,AL
0500000US01105,"Perry County, Alabama",6685,,34368,16960,,01105,AL
0500000US01107,"Pickens County, Alabama",15645,,47014,26328,,01107,AL
0500000US01109,"Pike County, Alabama",27417,,47961,27762,,01109,AL
0500000US01111,"Randolph County, Alabama",17999,,51551,29488,,01111,AL
0500000US01113,"Russell County, Alabama",45948,,50046,27383,,01113,AL
0500000US01115,"St. Clair County, Alabama",74730,,78993,34937,,01115,AL
0500000US01117,"Shelby County, Alabama",181376,,93543,47914,,01117,AL
0500000US01119,"Sumter County, Alabama",9923,,37981,19854,,01119,AL
0500000US01121,"Talladega County, Alabama",66061,,56249,29774,,01121,AL
0500000US01123,"Tallapoosa County, Alabama",33752,,57185,31718,,01123,AL
0500000US01125,"Tuscaloosa County, Alabama",190799,,63947,33674,,01125,AL
0500000US01127,"Walker County, Alabama",51973,,54509,28706,,01127,AL
0500000US01129,"Washington County, Alabama",12560,,60503,31555,,01129,AL
0500000US01131,"Wilcox County, Alabama",8268,,42236,23366,,01131,AL
0500000US01133,"Winston County, Alabama",19489,,48032,27258,,01133,AL
0500000US13001,"Appling County, Georgia",14395,,43728,25218,,13001,GA
0500000US13003,"Atkinson County, Georgia",6380,,38438,23886,,13003,GA
