geo_id,county_name,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,county_fips
0500000US13001,"Appling County, Georgia",14395,,43728,25218,,13001
0500000US13003,"Atkinson County, Georgia",6380,,38438,23886,,13003
0500000US13005,"Bacon County, Georgia",8722,,50310,25969,,13005
0500000US13007,"Baker County, Georgia",2343,,44405,25017,,13007
0500000US13009,"Baldwin County, Georgia",36630,,55413,32573,,13009
0500000US13011,"Banks County, Georgia",15218,,68830,32088,,13011
0500000US13013,"Barrow County, Georgia",67519,,77477,31914,,13013
0500000US13015,"Bartow County, Georgia",88016,,79431,33951,,13015
0500000US13017,"Ben Hill County, Georgia",13461,,39081,23099,,13017
0500000US13019,"Berrien County, Georgia",14501,,50414,26263,,13019
0500000US13021,"Bibb County, Georgia",122194,,50747,31306,,13021
0500000US13023,"Bleckley County, Georgia",10272,,53005,29677,,13023
0500000US13025,"Brantley County, Georgia",14635,,47801,25293,,13025
0500000US13027,"Brooks County, Georgia",13206,,47656,27303,,13027
0500000US13029,"Bryan County, Georgia",34685,,94234,42576,,13029
0500000US13031,"Bulloch County, Georgia",66867,,56832,30450,,13031
0500000US13033,"Burke County, Georgia",19220,,50739,31580,,13033
0500000US13035,"Butts County, Georgia",21287,,59221,27924,,13035
0500000US13037,"Calhoun County, Georgia",4789,,55714,19913,,13037
0500000US13039,"Camden County, Georgia",44081,,72399,34401,,13039
0500000US13043,"Candler County, Georgia",8634,,50431,25898,,13043
0500000US13045,"Carroll County, Georgia",96480,,72327,32201,,13045
0500000US13047,"Catoosa County, Georgia",55026,,72425,35382,,13047
0500000US13049,"Charlton County, Georgia",10745,,48534,24015,,13049
0500000US13051,"Chatham County, Georgia",242456,,69575,38920,,13051
0500000US13053,"Chattahoochee County, Georgia",7510,,59221,26920,,13053
0500000US13055,"Chattooga County, Georgia",20080,,47785,23391,,13055
0500000US13057,"Cherokee County, Georgia",218247,,105442,47337,,13057
0500000US13059,"Clarke County, Georgia",109402,,52267,31915,,13059
0500000US13061,"Clay County, Georgia",2458,,48715,29009,,13061
0500000US13063,"Clayton County, Georgia",227017,,58507,26826,,13063
0500000US13065,"Clinch County, Georgia",5298,,55549,24906,,13065
0500000US13067,"Cobb County, Georgia",614780,,98712,50975,,13067
0500000US13069,"Coffee County, Georgia",33633,,50175,23567,,13069
0500000US13071,"Colquitt County, Georgia",35525,,49691,27073,,13071
0500000US13073,"Columbia County, Georgia",124655,,96122,42457,,13073
0500000US13075,"Cook County, Georgia",13428,,50133,25003,,13075
0500000US13077,"Coweta County, Georgia",119388,,94142,43281,,13077
0500000US13079,"Crawford County, Georgia",9982,,60905,32796,,13079
0500000US13081,"Crisp County, Georgia",15799,,42745,28062,,13081
0500000US13083,"Dade County, Georgia",13317,,58936,32865,,13083
0500000US13085,"Dawson County, Georgia",23753,,88986,43291,,13085
0500000US13087,"Decatur County, Georgia",22651,,50485,26544,,13087
0500000US13089,"DeKalb County, Georgia",605413,,77683,45544,,13089
0500000US13091,"Dodge County, Georgia",16607,,50152,24702,,13091
0500000US13093,"Dooly County, Georgia",9534,,56545,27078,,13093
0500000US13095,"Dougherty County, Georgia",66124,,46784,27125,,13095
0500000US13097,"Douglas County, Georgia",113844,,80764,35070,,13097
0500000US13099,"Early County, Georgia",8339,,53750,26879,,13099
0500000US13101,"Echols County, Georgia",2820,,61723,25653,,13101
0500000US13103,"Effingham County, Georgia",51139,,85465,37841,,13103
