county_fips,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,avg_revenue,avg_expenses
13001,13,6205424,6008745,3567081.0,0.0,477340.3076923077,462211.1538461539
13005,7,192704578,192986501,611065.0,0.0,27529225.42857143,27569500.14285714
13007,1,124192,106305,1204.0,0.0,124192.0,106305.0
13009,40,27560605,30452663,6638963.0,4.0,689015.125,761316.575
13011,5,986303,893095,360686.0,0.0,197260.6,178619.0
13013,41,36442434,31618872,2749845.0,1.0,888839.8536585366,771192.0
13015,74,298782519,288831560,35367071.0,1.0,4037601.608108108,3903129.189189189
13017,6,1690464,1382575,0.0,0.0,281744.0,230429.16666666666
13019,8,2899822,2437838,648697.0,0.0,362477.75,304729.75
13021,278,2844922533,2711838954,147426061.0,7.0,10233534.291366907,9754816.381294964
13023,5,1216091,1082187,0.0,0.0,243218.2,216437.4
13025,3,89178298,89148820,58525.0,0.0,29726099.333333332,29716273.333333332
13027,19,78496613,83288867,7100.0,2.0,4131400.6842105263,4383624.578947368
13029,21,3840239,2520672,86906.0,1.0,182868.52380952382,120032.0
13031,88,241958752,211014027,121283545.0,3.0,2749531.272727273,2397886.6704545454
13033,10,6940949,6876616,250000.0,0.0,694094.9,687661.6
13035,11,170780503,175143580,9856412.0,0.0,15525500.272727273,15922143.636363637
13037,3,17326847,19437879,31128.0,0.0,5775615.666666667,6479293.0
13039,38,20686337,22979666,1597250.0,1.0,544377.2894736842,604728.052631579
13043,6,105908630,100339408,3006166.0,0.0,17651438.333333332,16723234.666666666
13045,102,1193582904,1105133051,15750809.0,7.0,11701793.176470589,10834637.75490196
13047,46,234853827,238507058,9607987.0,1.0,5105517.978260869,5184936.043478261
13051,376,3516366913,3184333650,139444829.0,19.0,9352039.662234042,8468972.473404255
13053,3,242160,237652,0.0,0.0,80720.0,79217.33333333333
13055,10,4460138,4031215,977404.0,0.0,446013.8,403121.5
13057,214,215668392,216753182,24206928.0,2.0,1007796.2242990654,1012865.3364485982
13059,252,2385251650,2158255224,283455983.0,9.0,9465284.325396825,8564504.857142856
13061,1,145280,188493,0.0,0.0,145280.0,188493.0
13063,136,121484368,128532526,29288749.0,6.0,893267.4117647059,945092.1029411765
13065,3,29678934,29510771,0.0,1.0,9892978.0,9836923.666666666
13067,987,11696759617,10020402786,141847971.0,64.0,11850820.280648429,10152383.775075987
13069,19,195717484,192044074,629123.0,1.0,10300920.210526315,10107582.842105264
13071,39,239235225,237129964,39634594.0,0.0,6134236.538461538,6080255.487179487
13073,113,213813759,181926850,12247519.0,6.0,1892157.1592920355,1609972.1238938053
13075,4,2360265,2138629,80912.0,0.0,590066.25,534657.25
13077,104,541742863,453938543,16234727.0,0.0,5209065.990384615,4364793.682692308
13079,2,544644,608900,287307.0,0.0,272322.0,304450.0
13081,15,134944708,136243070,3495025.0,0.0,8996313.866666667,9082871.333333334
13083,12,7727715,7343209,1450522.0,0.0,643976.25,611934.0833333334
13085,37,28733564,25904092,654745.0,0.0,776582.8108108108,700110.5945945946
13087,17,4162002,4374544,792616.0,0.0,244823.64705882352,257326.11764705883
13089,1166,20641560491,19800190714,1641382536.0,65.0,17702882.067753002,16981295.638078902
13091,5,34228497,27296827,211722.0,0.0,6845699.4,5459365.4
13093,6,28307622,28211473,19166.0,0.0,4717937.0,4701912.166666667
13095,121,1362877731,1237463837,114554210.0,5.0,11263452.32231405,10226973.859504132
13097,87,598280032,596661912,9541566.0,2.0,6876781.977011494,6858182.8965517245
13099,10,21160825,20403232,4854500.0,0.0,2116082.5,2040323.2
13103,25,81641212,87294831,9330745.0,0.0,3265648.48,3491793.24
13105,7,2795178,2298590,8110.0,0.0,399311.14285714284,328370.0
13107,17,29856598,30065867,9884288.0,0.0,1756270.4705882352,1768580.4117647058
13109,11,40211253,37380757,1739610.0,0.0,3655568.4545454546,3398250.6363636362
13111,40,95726118,90539544,11824870.0,0.0,2393152.95,2263488.6
13113,175,1168044522,822476898,16921297.0,4.0,6674540.125714285,4699867.988571429
13115,104,1454959809,1485584999,18377298.0,7.0,13989998.163461538,14284471.14423077
13117,159,606052692,600127286,9004003.0,3.0,3811652.150943396,3774385.4465408805
13119,22,86280647,87752870,993195.0,0.0,3921847.590909091,3988766.8181818184
13121,3032,35770609775,33127796496,2288832345.0,295.0,11797694.51682058,10926054.253298152
13123,34,26380531,23751136,3648892.0,0.0,775897.9705882353,698562.8235294118
13125,1,297948,269520,255000.0,0.0,297948.0,269520.0
13127,135,1710341195,1654964129,63814014.0,10.0,12669194.037037037,12258993.548148148
13129,30,289249210,266939879,4430677.0,1.0,9641640.333333334,8897995.966666667
13131,13,53780884,52686071,1293185.0,0.0,4136991.076923077,4052774.6923076925
13133,39,97795508,85913294,6083610.0,0.0,2507577.128205128,2202904.9743589745
13135,841,1754290260,1604641131,64341432.0,41.0,2085957.5029726515,1908015.6135552914
13137,50,161018516,162517239,4699258.0,0.0,3220370.32,3250344.78
13139,176,3423745290,3134921114,47588905.0,15.0,19453098.238636363,17812051.78409091
13141,3,240342,216374,117966.0,0.0,80114.0,72124.66666666667
13143,12,25522468,24828034,282346.0,0.0,2126872.3333333335,2069002.8333333333
13145,32,20477381,24459741,1491781.0,3.0,639918.15625,764366.90625
13147,15,89266302,88625682,1308397.0,0.0,5951086.8,5908378.8
13149,6,1647769,1565698,0.0,0.0,274628.1666666667,260949.66666666666
13151,150,813777944,755317839,8990775.0,2.0,5425186.293333333,5035452.26
13153,107,620030247,597870315,30985249.0,6.0,5794675.205607477,5587573.037383177
13155,4,47389102,46891824,4710585.0,0.0,11847275.5,11722956.0
13157,60,706852948,690686955,1425070.0,1.0,11780882.466666667,11511449.25
13159,7,19543488,20757731,476912.0,0.0,2791926.8571428573,2965390.1428571427
13161,7,2361063,2297283,148518.0,0.0,337294.71428571426,328183.28571428574
13163,17,92421561,92074535,3900.0,0.0,5436562.411764706,5416149.117647059
13165,7,51498173,51052651,393261.0,0.0,7356881.857142857,7293235.857142857
13167,3,20760551,20598190,9040729.0,0.0,6920183.666666667,6866063.333333333
13169,14,656479911,643100100,4905912.0,0.0,46891422.21428572,45935721.428571425
