zip_code,county_fips
30002,13089
30003,13135
30004,13121
30005,13121
30006,13067
30007,13067
30008,13067
30009,13121
30010,13135
30011,13013
30012,13247
30013,13247
30014,13217
30015,13217
30016,13217
30017,13135
30018,13297
30019,13135
30021,13089
30022,13121
30023,13121
30024,13135
30025,13297
30026,13135
30028,13117
30029,13135
30030,13089
30031,13089
30032,13089
30033,13089
30034,13089
30035,13089
30036,13089
30037,13089
30038,13089
30039,13135
30040,13117
30041,13117
30042,13135
30043,13135
30044,13135
30045,13135
30046,13135
30047,13135
30048,13135
30049,13135
30052,13135
30054,13217
30055,13159
30056,13159
30058,13089
30060,13067
30061,13067
30062,13067
30063,13067
30064,13067
30065,13067
30066,13067
30067,13067
30068,13067
30069,13067
30070,13217
30071,13135
30072,13089
30073,13089
30074,13089
30075,13121
30076,13121
30077,13121
30078,13135
30079,13089
30080,13067
30081,13067
30082,13067
30083,13089
30084,13089
30085,13089
30086,13089
30087,13089
30088,13089
30090,13067
30091,13135
30092,13135
30093,13135
30094,13247
30095,13135
30096,13135
30097,13121
30098,13135
30099,13135
30101,13067
30102,13057
30103,13015
30104,13233
30105,13115
30106,13067
30107,13057
30108,13045
30109,13045
30110,13143
30111,13067
30112,13045
30113,13143
30114,13057
30115,13057
30116,13045
30117,13045
30118,13045
30119,13045
30120,13015
30121,13015
30122,13097
30123,13015
30124,13115
30125,13233
30126,13067
30127,13067
30129,13115
30132,13223
30133,13097
30134,13097
30135,13097
30137,13015
30139,13129
30140,13143
30141,13223
30142,13057
30143,13227
30144,13067
30145,13015
30146,13057
30147,13115
30148,13227
30149,13115
30150,13045
30151,13227
30152,13067
30153,13233
30154,13097
30156,13067
30157,13223
30160,13067
30161,13115
30162,13115
30163,13115
30164,13217
30165,13115
30168,13067
30169,13057
30170,13045
30171,13015
30172,13115
30173,13115
30175,13227
30176,13143
30177,13227
30178,13015
30179,13045
30180,13045
30182,13045
30183,13057
30184,13015
30185,13045
30187,13097
30188,13057
30189,13057
30204,13171
30205,13113
30206,13231
30212,13255
30213,13121
30214,13113
30215,13113
30216,13035
30217,13149
30218,13199
30219,13149
30220,13077
30222,13199
30223,13255
30224,13255
30228,13151
30229,13077
30230,13285
30233,13035
30234,13035
30236,13063
30237,13063
30238,13063
30240,13285
30241,13285
30248,13151
30250,13063
30251,13199
30252,13151
30253,13151
30256,13231
30257,13171
30258,13231
30259,13077
30260,13063
30261,13285
30263,13077
30264,13077
30265,13077
30266,13255
30268,13121
30269,13113
30270,13113
30271,13077
30272,13121
30273,13063
30274,13063
30275,13077
30276,13077
30277,13077
30281,13151
30284,13255
30285,13293
30286,13293
30287,13063
30288,13063
30289,13077
30290,13113
30291,13121
30292,13231
30293,13199
30294,13089
30295,13231
30296,13063
30297,13063
30298,13063
30301,13121
