state_abbr,county_fips,county_name,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,total_volunteers,avg_revenue,avg_expenses,volunteers_per_org,geo_id,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults,total_volunteers_vol,volunteers_per_org_vol
AL,1001,"Autauga County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01001,47508,,69841,36227,,33.8,14.3,25.1,21.0,16.5,12.4,39.8,0.0,0.0
AL,1003,"Baldwin County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01003,195048,,75019,40775,,33.9,14.6,22.5,19.3,13.2,9.7,35.2,0.0,0.0
AL,1005,"Barbour County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01005,20253,,44290,25439,,44.4,12.4,22.1,31.4,30.5,21.1,46.8,0.0,0.0
AL,1007,"Bibb County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01007,18176,,51215,26022,,41.3,14.0,24.4,27.6,23.5,16.1,43.9,0.0,0.0
AL,1009,"Blount County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01009,47389,,61096,30656,,37.9,14.5,24.8,23.6,16.7,11.8,36.1,0.0,0.0
AL,1011,"Bullock County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01011,8254,,36723,21462,,49.7,10.6,21.1,39.4,42.9,29.4,51.3,0.0,0.0
AL,1013,"Butler County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01013,15120,,44881,28306,,42.1,11.6,22.5,28.9,26.7,18.7,40.4,0.0,0.0
AL,1015,"Calhoun County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01015,94387,,55826,29571,,39.0,14.3,24.6,25.2,20.5,14.1,38.6,0.0,0.0
AL,1017,"Chambers County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01017,27797,,49295,27868,,41.0,11.8,22.7,27.6,24.6,17.4,41.5,0.0,0.0
AL,1019,"Cherokee County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01019,21189,,50769,31360,,40.9,13.5,25.0,25.5,16.9,11.2,39.5,0.0,0.0
AL,1021,"Chilton County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01021,35476,,61873,30032,,39.2,14.2,24.5,24.0,18.7,13.2,40.0,0.0,0.0
AL,1023,"Choctaw County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01023,10376,,44483,26781,,44.3,11.3,23.3,30.3,25.4,17.0,44.4,0.0,0.0
AL,1025,"Clarke County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01025,18497,,49167,31101,,43.0,11.6,22.6,28.6,25.8,18.0,43.9,0.0,0.0
AL,1027,"Clay County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01027,11542,,51852,29268,,41.8,13.3,24.4,27.0,20.2,13.6,42.5,0.0,0.0
AL,1029,"Cleburne County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01029,12384,,53319,29569,,38.6,14.6,25.5,24.0,17.0,11.5,37.4,0.0,0.0
AL,1031,"Coffee County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01031,42821,,64672,32757,,38.1,14.4,24.3,23.9,19.6,13.9,41.0,0.0,0.0
AL,1033,"Colbert County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01033,46791,,56736,32685,,37.9,14.0,24.5,23.6,17.6,12.7,37.5,0.0,0.0
AL,1035,"Conecuh County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01035,9391,,42266,26323,,46.5,10.6,22.3,33.3,30.2,20.0,46.4,0.0,0.0
AL,1037,"Coosa County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01037,8752,,57063,29035,,41.6,12.0,22.2,27.6,21.2,14.5,41.9,0.0,0.0
AL,1039,"Covington County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01039,30235,,50886,30151,,40.5,12.9,24.3,26.3,19.0,13.0,37.9,0.0,0.0
AL,1041,"Crenshaw County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01041,10520,,49040,30321,,40.3,13.4,23.8,26.5,21.8,15.1,40.5,0.0,0.0
AL,1043,"Cullman County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01043,71682,,60916,30977,,37.2,15.3,25.4,22.9,15.7,11.1,36.4,0.0,0.0
AL,1045,"Dale County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01045,39224,,53955,29344,,40.6,13.3,24.8,26.0,21.3,15.1,41.3,0.0,0.0
AL,1047,"Dallas County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01047,29643,,36810,24368,,44.2,10.1,20.3,33.2,34.0,23.5,46.3,0.0,0.0
AL,1049,"DeKalb County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01049,56499,,51149,25274,,42.0,14.1,26.3,28.1,22.6,14.8,38.6,0.0,0.0
AL,1051,"Elmore County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01051,71576,,75553,36616,,35.2,14.8,23.0,21.7,17.3,12.7,38.9,0.0,0.0
AL,1053,"Escambia County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01053,29350,,44447,22916,,44.1,12.9,24.0,31.4,28.6,19.1,43.9,0.0,0.0
AL,1055,"Etowah County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01055,83351,,53070,29553,,41.1,13.9,24.9,26.5,19.7,13.9,43.8,0.0,0.0
AL,1057,"Fayette County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01057,13235,,50733,27734,,41.4,13.7,25.7,26.4,20.0,13.4,40.6,0.0,0.0
AL,1059,"Franklin County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01059,24865,,51493,26036,,42.0,13.7,25.1,28.6,23.8,15.9,42.2,0.0,0.0
AL,1061,"Geneva County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01061,21426,,50951,26880,,40.6,14.0,25.7,27.2,20.9,14.0,42.3,0.0,0.0
AL,1063,"Greene County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01063,6108,,31495,20372,,50.4,8.8,20.4,38.7,41.3,27.3,52.7,0.0,0.0
AL,1065,"Hale County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01065,11517,,41325,26024,,42.7,11.2,21.2,30.5,30.1,21.2,47.6,0.0,0.0
AL,1067,"Henry County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01067,14280,,60135,31809,,39.1,12.7,23.0,25.2,19.8,13.7,41.3,0.0,0.0
AL,1069,"Houston County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01069,85535,,57531,33053,,39.2,13.3,24.9,24.9,20.4,15.0,40.5,0.0,0.0
AL,1071,"Jackson County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01071,43210,,49454,28452,,43.4,13.9,26.7,26.8,19.6,12.8,39.3,0.0,0.0
AL,1073,"Jefferson County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01073,533233,,64589,39826,,35.3,14.5,22.7,20.9,20.1,15.0,37.4,0.0,0.0
AL,1075,"Lamar County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01075,10986,,47447,24169,,42.4,13.3,24.7,27.1,19.8,13.2,40.8,0.0,0.0
AL,1077,"Lauderdale County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01077,78274,,59082,33595,,36.0,14.6,24.2,21.0,15.1,10.8,35.6,0.0,0.0
AL,1079,"Lawrence County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01079,26762,,60040,31189,,39.7,14.0,24.9,25.4,19.7,13.6,39.5,0.0,0.0
AL,1081,"Lee County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01081,144668,,61123,34504,,32.7,15.5,23.6,19.7,17.1,12.9,38.4,0.0,0.0
AL,1083,"Limestone County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01083,86785,,83534,39587,,33.3,15.3,23.7,20.2,15.1,11.5,39.6,0.0,0.0
AL,1085,"Lowndes County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01085,8041,,35160,24965,,47.8,9.6,20.9,36.0,38.3,26.0,51.2,0.0,0.0
AL,1087,"Macon County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01087,16337,,45951,24595,,42.4,10.4,20.7,29.2,31.3,22.0,46.7,0.0,0.0
AL,1089,"Madison County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01089,320186,,83528,46784,,30.3,14.6,21.6,17.8,13.3,10.8,39.9,0.0,0.0
AL,1091,"Marengo County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01091,15277,,44205,27957,,42.1,11.5,22.3,29.1,27.3,19.0,43.1,0.0,0.0
AL,1093,"Marion County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01093,23867,,50714,26555,,41.6,13.9,25.7,26.0,19.0,12.4,42.4,0.0,0.0
AL,1095,"Marshall County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01095,75978,,60946,31025,,39.1,14.8,25.4,24.6,18.3,12.7,37.6,0.0,0.0
AL,1097,"Mobile County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01097,327288,,58119,32032,,35.8,13.7,22.1,23.0,21.5,15.5,39.0,0.0,0.0
AL,1099,"Monroe County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01099,15983,,40225,23470,,44.1,11.4,22.7,30.8,27.7,18.9,43.8,0.0,0.0
AL,1101,"Montgomery County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01101,178713,,58153,33404,,37.6,12.2,21.0,24.5,24.8,19.0,46.1,0.0,0.0
AL,1103,"Morgan County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01103,98199,,64858,34510,,37.7,14.3,24.0,23.7,17.9,12.9,38.6,0.0,0.0
AL,1105,"Perry County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01105,6685,,34368,16960,,49.1,9.7,22.1,37.2,39.4,26.2,52.9,0.0,0.0
AL,1107,"Pickens County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01107,15645,,47014,26328,,41.6,12.6,22.3,29.0,26.7,18.8,48.0,0.0,0.0
AL,1109,"Pike County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01109,27417,,47961,27762,,39.0,13.9,24.7,23.8,23.7,16.6,40.3,0.0,0.0
AL,1111,"Randolph County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01111,17999,,51551,29488,,39.9,13.3,24.4,25.2,19.2,13.2,37.8,0.0,0.0
AL,1113,"Russell County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01113,45948,,50046,27383,,39.8,13.0,23.9,27.4,27.4,20.0,43.0,0.0,0.0
AL,1115,"St. Clair County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01115,74730,,78993,34937,,36.0,15.3,25.0,21.3,15.4,11.6,39.6,0.0,0.0
AL,1117,"Shelby County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01117,181376,,93543,47914,,28.1,16.3,21.6,16.1,11.1,8.8,31.7,0.0,0.0
AL,1119,"Sumter County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01119,9923,,37981,19854,,42.6,10.9,21.5,29.6,32.0,22.2,47.2,0.0,0.0
AL,1121,"Talladega County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01121,66061,,56249,29774,,39.4,13.2,22.7,26.4,22.5,16.2,45.6,0.0,0.0
